x,y,vessel_count
627520.4331893444,3425605.905745316,14
627520.4331893444,3425680.905745316,20
627520.4331893444,3425755.905745316,20
627520.4331893444,3425830.905745316,34
627520.4331893444,3425905.905745316,38
627520.4331893444,3425980.905745316,39
627520.4331893444,3426055.905745316,61
627520.4331893444,3426130.905745316,68
627520.4331893444,3426205.905745316,71
627520.4331893444,3426280.905745316,83
627520.4331893444,3426355.905745316,98
627520.4331893444,3426430.905745316,113
627520.4331893444,3426505.905745316,119
627520.4331893444,3426580.905745316,101
627520.4331893444,3426655.905745316,120
627520.4331893444,3426730.905745316,120
627520.4331893444,3426805.905745316,126
627520.4331893444,3426880.905745316,125
627520.4331893444,3426955.905745316,143
627520.4331893444,3427030.905745316,154
627520.4331893444,3427105.905745316,163
627520.4331893444,3427180.905745316,153
627520.4331893444,3427255.905745316,155
627520.4331893444,3427330.905745316,176
627520.4331893444,3427405.905745316,137
627520.4331893444,3427480.905745316,143
627520.4331893444,3427555.905745316,161
627520.4331893444,3427630.905745316,121
627520.4331893444,3427705.905745316,85
627520.4331893444,3427780.905745316,64
627520.4331893444,3427855.905745316,59
627520.4331893444,3427930.905745316,28
627520.4331893444,3428005.905745316,28
627520.4331893444,3428080.905745316,16
627520.4331893444,3428155.905745316,13
627520.4331893444,3428230.905745316,15
627520.4331893444,3428305.905745316,13
627520.4331893444,3428380.905745316,15
627520.4331893444,3428455.905745316,11
627520.4331893444,3428530.905745316,15
627520.4331893444,3428605.905745316,25
627520.4331893444,3428680.905745316,23
627520.4331893444,3428755.905745316,26
627520.4331893444,3428830.905745316,25
627520.4331893444,3428905.905745316,19
627520.4331893444,3428980.905745316,17
627520.4331893444,3429055.905745316,13
627520.4331893444,3429130.905745316,2
627595.4331893444,3425230.905745316,1
627595.4331893444,3425305.905745316,2
627595.4331893444,3425380.905745316,6
627595.4331893444,3425455.905745316,7
627595.4331893444,3425530.905745316,26
627595.4331893444,3425605.905745316,39
627595.4331893444,3425680.905745316,38
627595.4331893444,3425755.905745316,57
627595.4331893444,3425830.905745316,62
627595.4331893444,3425905.905745316,75
627595.4331893444,3425980.905745316,83
627595.4331893444,3426055.905745316,109
627595.4331893444,3426130.905745316,113
627595.4331893444,3426205.905745316,114
627595.4331893444,3426280.905745316,104
627595.4331893444,3426355.905745316,117
627595.4331893444,3426430.905745316,112
627595.4331893444,3426505.905745316,97
627595.4331893444,3426580.905745316,104
627595.4331893444,3426655.905745316,95
627595.4331893444,3426730.905745316,106
627595.4331893444,3426805.905745316,96
627595.4331893444,3426880.905745316,101
627595.4331893444,3426955.905745316,112
627595.4331893444,3427030.905745316,114
627595.4331893444,3427105.905745316,132
627595.4331893444,3427180.905745316,108
627595.4331893444,3427255.905745316,142
627595.4331893444,3427330.905745316,146
627595.4331893444,3427405.905745316,149
627595.4331893444,3427480.905745316,156
627595.4331893444,3427555.905745316,180
627595.4331893444,3427630.905745316,194
627595.4331893444,3427705.905745316,243
627595.4331893444,3427780.905745316,250
627595.4331893444,3427855.905745316,294
627595.4331893444,3427930.905745316,282
627595.4331893444,3428005.905745316,261
627595.4331893444,3428080.905745316,235
627595.4331893444,3428155.905745316,208
627595.4331893444,3428230.905745316,146
627595.4331893444,3428305.905745316,111
627595.4331893444,3428380.905745316,94
627595.4331893444,3428455.905745316,81
627595.4331893444,3428530.905745316,83
627595.4331893444,3428605.905745316,69
627595.4331893444,3428680.905745316,61
627595.4331893444,3428755.905745316,56
627595.4331893444,3428830.905745316,63
627595.4331893444,3428905.905745316,74
627595.4331893444,3428980.905745316,90
627595.4331893444,3429055.905745316,111
627595.4331893444,3429130.905745316,157
627595.4331893444,3429205.905745316,176
627670.4331893444,3425155.905745316,3
627670.4331893444,3425230.905745316,11
627670.4331893444,3425305.905745316,20
627670.4331893444,3425380.905745316,35
627670.4331893444,3425455.905745316,47
627670.4331893444,3425530.905745316,64
627670.4331893444,3425605.905745316,81
627670.4331893444,3425680.905745316,92
627670.4331893444,3425755.905745316,117
627670.4331893444,3425830.905745316,94
627670.4331893444,3425905.905745316,127
627670.4331893444,3425980.905745316,112
627670.4331893444,3426055.905745316,123
627670.4331893444,3426130.905745316,111
627670.4331893444,3426205.905745316,83
627670.4331893444,3426280.905745316,79
627670.4331893444,3426355.905745316,76
627670.4331893444,3426430.905745316,80
627670.4331893444,3426505.905745316,59
627670.4331893444,3426580.905745316,71
627670.4331893444,3426655.905745316,54
627670.4331893444,3426730.905745316,49
627670.4331893444,3426805.905745316,39
627670.4331893444,3426880.905745316,60
627670.4331893444,3426955.905745316,37
627670.4331893444,3427030.905745316,42
627670.4331893444,3427105.905745316,43
627670.4331893444,3427180.905745316,21
627670.4331893444,3427255.905745316,47
627670.4331893444,3427330.905745316,38
627670.4331893444,3427405.905745316,42
627670.4331893444,3427480.905745316,25
627670.4331893444,3427555.905745316,38
627670.4331893444,3427630.905745316,43
627670.4331893444,3427705.905745316,42
627670.4331893444,3427780.905745316,41
627670.4331893444,3427855.905745316,61
627670.4331893444,3427930.905745316,69
627670.4331893444,3428005.905745316,105
627670.4331893444,3428080.905745316,143
627670.4331893444,3428155.905745316,174
627670.4331893444,3428230.905745316,202
627670.4331893444,3428305.905745316,235
627670.4331893444,3428380.905745316,247
627670.4331893444,3428455.905745316,241
